FirstName,LastName,LogonName,OU,MemberOf,EmailAddress
Phil,Harmony,Phil,"OU=Managers,DC=brown27d,DC=net","DLManagers, LogisticsW ",Phil@brown274.net
Jaya,Kumar,Jaya,"OU=Managers,DC=brown27d,DC=net","DLManagers, LogisticsR ",Jaya@brown274.net
Nick,Johnson,Nick,"OU=Managers,DC=brown27d,DC=net",DLManagers ,Nick@brown274.net
Mary,Hans,Mary,"OU=Managers,DC=brown27d,DC=net",DLManagers ,Mary@brown274.net
Tony,Starks,Tony,"OU=Coaches,DC=brown27d,DC=net","DLCoaches, BudgetR ",Tony@brown274.net
Jenny,Lopez,Jenny,"OU=Coaches,DC=brown27d,DC=net","DLCoaches, BudgetW ",Jenny@brown274.net
Natasha,Kim,Natasha,"OU=Coaches,DC=brown27d,DC=net","DLCoaches, LogisticsW ",Natasha@brown274.net
Bruce,Lee,Bruce,"OU=Trainees,DC=brown27d,DC=net","DLTrainees, LogisticsR ",Bruce@brown274.net
Ahmad,Saleh,Ahmad,"OU=Trainees,DC=brown27d,DC=net","DLTrainees, LogisticsW ",Ahmad@brown274.net
Steve,Aston,Steve,"OU=Visitors,DC=brown27d,DC=net",DLVisitors ,Steve@brown274.net
Jim,Koh,Jim,"OU=Visitors,DC=brown27d,DC=net",DLVisitors ,Jim@brown274.net
